127.0.0.1 - - [16/Jul/2023:00:01:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:01:15 +0530] "GET /spring-mvc-user-project/ HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:01:16 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:01:21 +0530] "GET /spring-mvc-user-project/register.jsp HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:01:24 +0530] "GET /spring-mvc-user-project/edit.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:01:27 +0530] "GET /spring-mvc-user-project/ HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:01:29 +0530] "GET /spring-mvc-user-project/ HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:02:40 +0530] "GET /spring-mvc-user-project/ HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:02:41 +0530] "GET /spring-mvc-user-project/verify1.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:03:24 +0530] "GET /spring-mvc-user-project/verify1.jsp HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:04:11 +0530] "GET /spring-mvc-user-project/verify-phone?phone=dfds&password=797496690 HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:07:21 +0530] "GET /spring-mvc-user-project/verify1.jsp HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:08:12 +0530] "GET /spring-mvc-user-project/verify-phone?phone=7974964690&password=sdfs HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:08:43 +0530] "GET /spring-mvc-user-project/verify-phone?phone=7974964690&password=sdfs HTTP/1.1" 500 4923
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:08:44 +0530] "GET /spring-mvc-user-project/verify-phone?phone=7974964690&password=sdfs HTTP/1.1" 500 4923
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:09:04 +0530] "GET /spring-mvc-user-project/verify-phone?phone=7974964690&password=sdfs HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:09:06 +0530] "GET /spring-mvc-user-project/verify-phone?phone=7974964690&password=sdfs HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:09:14 +0530] "GET /spring-mvc-user-project/verify-phone?phone=7974964690&password=sdfs HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:09:20 +0530] "GET /spring-mvc-user-project/verify-phone?phone=7974964690&password=sdfs HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:09:29 +0530] "GET /spring-mvc-user-project/verify1.jsp HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:09:31 +0530] "GET /spring-mvc-user-project/verify-phone?phone=7974964690&password=sdfs HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:09:40 +0530] "GET /spring-mvc-user-project/verify-phone?phone=7974964690&password=sdfs HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:09:40 +0530] "GET /spring-mvc-user-project/verify-phone?phone=7974964690&password=sdfs HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:09:40 +0530] "GET /spring-mvc-user-project/verify-phone?phone=7974964690&password=sdfs HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:09:41 +0530] "GET /spring-mvc-user-project/verify-phone?phone=7974964690&password=sdfs HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:09:41 +0530] "GET /spring-mvc-user-project/verify-phone?phone=7974964690&password=sdfs HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:09:41 +0530] "GET /spring-mvc-user-project/verify-phone?phone=7974964690&password=sdfs HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:09:41 +0530] "GET /spring-mvc-user-project/verify-phone?phone=7974964690&password=sdfs HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:09:41 +0530] "GET /spring-mvc-user-project/verify-phone?phone=7974964690&password=sdfs HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:09:42 +0530] "GET /spring-mvc-user-project/verify-phone?phone=7974964690&password=sdfs HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:09:42 +0530] "GET /spring-mvc-user-project/verify-phone?phone=7974964690&password=sdfs HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:14:05 +0530] "GET /spring-mvc-user-project/verify1.jsp HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:14:13 +0530] "GET /spring-mvc-user-project/ HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:14:13 +0530] "GET /spring-mvc-user-project/ HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:14:15 +0530] "GET /spring-mvc-user-project/verify2.jsp HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:14:34 +0530] "GET /spring-mvc-user-project/verify-email?email=khanlukman833%40gmail.com&password=sdfs HTTP/1.1" 400 872
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:15:12 +0530] "GET /spring-mvc-user-project/ HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:15:12 +0530] "GET /spring-mvc-user-project/ HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:15:13 +0530] "GET /spring-mvc-user-project/verify-email?email=khanlukman833%40gmail.com&password= HTTP/1.1" 500 3487
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:15:14 +0530] "GET /spring-mvc-user-project/verify2.jsp HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:15:18 +0530] "GET /spring-mvc-user-project/verify-email?email=khanlukman833%40gmail.com&password=sdfs HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:17:42 +0530] "GET /spring-mvc-user-project/ HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:17:42 +0530] "GET /spring-mvc-user-project/ HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:17:44 +0530] "GET /spring-mvc-user-project/ HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:18:01 +0530] "GET /spring-mvc-user-project/ HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:18:03 +0530] "GET /spring-mvc-user-project/verify3.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:18:15 +0530] "GET /spring-mvc-user-project/verify-id?id=1&password=sdfs HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:18:25 +0530] "GET /spring-mvc-user-project/verify-id?id=5&password=sdfs HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:19:49 +0530] "GET /spring-mvc-user-project/ HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:19:51 +0530] "GET /spring-mvc-user-project/delete.jsp HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:20:08 +0530] "GET /spring-mvc-user-project/delete.jsp HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:20:09 +0530] "GET /spring-mvc-user-project/delete.jsp HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:20:19 +0530] "GET /spring-mvc-user-project/delete.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:20:20 +0530] "GET /spring-mvc-user-project/delete.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:26:15 +0530] "GET /spring-mvc-user-project/ HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:26:15 +0530] "GET /spring-mvc-user-project/ HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:26:15 +0530] "GET /spring-mvc-user-project/ HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:26:17 +0530] "GET /spring-mvc-user-project/delete.jsp HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:26:24 +0530] "GET /spring-mvc-user-project/deleteuser?id=5&password=sdfs HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:26:43 +0530] "GET /spring-mvc-user-project/deleteuser?id=4&password=sdfs HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [16/Jul/2023:00:26:57 +0530] "GET /spring-mvc-user-project/deleteuser?id=4&password=sdfs HTTP/1.1" 200 172
